station,feature,mean_abs_shap,normalized
Sokcho,hour,0.173546701669693,0.02124439016068489
Sokcho,air_ground_diff,0.20638002455234528,0.02526361907647488
Sokcho,dpd_ratio,0.35808107256889343,0.04383381499977285
Sokcho,ground_air_diff,0.10187137871980667,0.012470391513689052
Sokcho,ground_air_diff_1h,0.12262343615293503,0.01501071524502338
Sokcho,rel_humid,0.19829143583774567,0.024273469837975837
Sokcho,weekday,0.08073209226131439,0.009882665876025038
Sokcho,is_weekend,0.008970685303211212,0.0010981294185173319
Sokcho,month_sin,0.17426005005836487,0.02133171335002608
Sokcho,month_cos,0.1468205749988556,0.017972762080078683
Sokcho,temp_lag_1,0.08251281827688217,0.010100650072094666
Sokcho,temp_lag_2,0.07404076308012009,0.0090635595118521
Sokcho,temp_lag_3,0.11784762144088745,0.014426092949688822
Sokcho,humidity_lag_1,0.12425795197486877,0.015210801397689438
Sokcho,humidity_lag_2,0.07948048412799835,0.009729452641451097
Sokcho,humidity_lag_3,0.080011747777462,0.009794486272968198
Sokcho,vis_lag_1,0.5262013077735901,0.06441393456547019
Sokcho,vis_lag_2,0.17819638550281525,0.02181357238382321
Sokcho,vis_lag_3,0.3918657600879669,0.047969503412209895
Sokcho,temp_roll_mean_2h,0.07761191576719284,0.009500715391379833
Sokcho,humid_roll_std_2h,0.18446914851665497,0.022581440764895395
Seoul,시정(10m),1.6348298788070679,0.17058086430129488
Seoul,기온(°C),0.3448014259338379,0.03597715334823173
Seoul,이슬점온도(°C),0.15695230662822723,0.016376664303603936
Seoul,습도(%),0.591376006603241,0.06170515454919332
Seoul,풍속(m/s),0.2811424136161804,0.029334866292873664
Seoul,현지기압(hPa),0.35739266872406006,0.03729094452958132
Seoul,지면온도(°C),0.31778037548065186,0.033157732073648256
Seoul,dew_point_depression,1.0371500253677368,0.10821795590525611
Seoul,hour,0.3323155641555786,0.03467435779666271
Seoul,air_ground_diff,0.686801552772522,0.07166201449712682
Seoul,dpd_ratio,0.26813098788261414,0.0279772325254731
Seoul,ground_air_diff,0.32339736819267273,0.033743818420620186
Seoul,ground_air_diff_1h,0.32049864530563354,0.03344136086105937
Seoul,rel_humid,0.20951829850673676,0.021861487185623942
Seoul,weekday,0.1081131100654602,0.011280701433426417
Seoul,is_weekend,0.031069420278072357,0.003241834904706445
Seoul,month_sin,0.165357306599617,0.017253655957694708
Seoul,month_cos,0.19235458970069885,0.02007059730729232
Seoul,temp_lag_1,0.14875225722789764,0.01552105753243199
Seoul,temp_lag_2,0.12354938685894012,0.012891348187049012
Seoul,temp_lag_3,0.24383538961410522,0.02544218945763816
Seoul,humidity_lag_1,0.130341038107872,0.013600000356362888
Seoul,humidity_lag_2,0.18732993304729462,0.019546316288290896
Seoul,humidity_lag_3,0.2582511603832245,0.026946354918059075
Seoul,vis_lag_1,0.4726755619049072,0.049319753039181305
Seoul,vis_lag_2,0.12692680954933167,0.013243754079005299
Seoul,vis_lag_3,0.16253365576267242,0.016959031540503024
Seoul,temp_roll_mean_2h,0.17032814025878906,0.017772320996101192
Seoul,humid_roll_std_2h,0.20039433240890503,0.020909477412007906
